,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met
1,36005000200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1061,-0.012613918,0.036519978,-0.23434211,-0.024779497,Moderate,High,Very Low,Very Low,47,67,12,20,Moderate,Moderate,Low,Low,43,49,22,26,Low,Moderate,Low,Low,38,47,21,25
2,36005000400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1225,0.012289447,0.042978842,-0.1875283,-0.015891207,High,High,Very Low,Low,61,74,16,28,Moderate,Moderate,Low,Low,56,58,27,33,Moderate,Moderate,Low,Low,48,55,26,33
3,36005001600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1795,-0.022803664,0.044157237,-0.38710797,-0.042871065,Moderate,High,Very Low,Very Low,41,75,4,9,Low,Moderate,Very Low,Very Low,38,60,12,16,Low,Moderate,Very Low,Very Low,35,57,10,15
4,36005001900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,756,-0.087908603,0.040299751,-0.31381154,-0.04194957,Very Low,High,Very Low,Very Low,10,71,7,10,Very Low,Moderate,Very Low,Very Low,11,54,16,16,Very Low,Moderate,Very Low,Very Low,12,52,15,15
5,36005002000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2866,-0.04788617,0.034918029,-0.6585753,-0.078218415,Low,High,Very Low,Very Low,26,66,1,1,Low,Moderate,Very Low,Very Low,27,46,1,2,Low,Moderate,Very Low,Very Low,26,45,1,2
6,36005002300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1222,-0.010779073,0.041166019,-0.7676726,-0.086147085,Moderate,High,Very Low,Very Low,48,72,1,1,Moderate,Moderate,Very Low,Very Low,44,56,1,1,Low,Moderate,Very Low,Very Low,39,53,1,1
7,36005002500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1784,-0.10315226,0.009798636,-0.5280382,-0.07181035,Very Low,Low,Very Low,Very Low,6,40,1,2,Very Low,Very Low,Very Low,Very Low,7,16,4,4,Very Low,Very Low,Very Low,Very Low,7,16,4,3
8,36005002701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1079,-0.090189382,0.03291069,-0.52261299,-0.067286633,Very Low,High,Very Low,Very Low,9,63,2,3,Very Low,Moderate,Very Low,Very Low,11,43,5,5,Very Low,Moderate,Very Low,Very Low,11,42,4,4
9,36005002702,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1492,-0.11903032,0.02599204,-0.60985053,-0.081363365,Very Low,Moderate,Very Low,Very Low,3,56,1,1,Very Low,Low,Very Low,Very Low,3,33,2,2,Very Low,Low,Very Low,Very Low,3,33,2,1
10,36005002800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1025,-0.050647192,0.043124013,-0.35986888,-0.042889394,Low,High,Very Low,Very Low,24,74,5,9,Low,Moderate,Very Low,Very Low,26,59,14,16,Low,Moderate,Very Low,Very Low,25,56,12,15
