Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
1085,36059300100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1300,0.21210505,0.031112757,0.12240441,0.041004416,Very High,High,High,Very High,100,61,70,90,Very High,Moderate,High,Very High,100,41,74,90,Very High,Low,High,Very High,99,39,71,87,2015,2015,0,Total,113160,25570.0,"Census Tract 3001, Nassau County, NY",14000US36059300100,36059300100,LI
1086,36059300300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1234,0.20792583,0.031974453,0.080086514,0.035709441,Very High,High,High,Very High,100,62,61,85,Very High,Moderate,High,Very High,100,42,67,85,Very High,Low,High,High,99,40,63,80,2015,2015,0,Total,76042,9387.0,"Census Tract 3003, Nassau County, NY",14000US36059300300,36059300300,LI
1087,36059300400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1834,0.20680597,0.056352932,0.09654127800000001,0.040094525,Very High,Very High,High,Very High,100,86,64,89,Very High,High,High,Very High,100,78,70,90,Very High,High,High,Very High,99,75,66,86,2015,2015,0,Total,98487,13087.0,"Census Tract 3004, Nassau County, NY",14000US36059300400,36059300400,LI
1088,36059300500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1286,0.23812824,0.048924059000000006,0.15696323,0.049798327999999996,Very High,High,High,Very High,100,79,77,96,Very High,High,Very High,Very High,100,68,81,96,Very High,High,High,Very High,100,64,79,95,2015,2015,0,Total,117361,17303.0,"Census Tract 3005, Nassau County, NY",14000US36059300500,36059300500,LI
1089,36059300600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1698,0.23942247,0.053087644,0.1088222,0.044782169000000004,Very High,Very High,High,Very High,100,83,67,93,Very High,High,High,Very High,100,74,71,93,Very High,High,High,Very High,100,70,68,90,2015,2015,0,Total,122083,15319.0,"Census Tract 3006, Nassau County, NY",14000US36059300600,36059300600,LI
1090,36059300700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,914,0.22105482,0.053600423,0.06300620700000001,0.037474379,Very High,Very High,Moderate,Very High,100,84,57,87,Very High,High,High,Very High,100,75,63,87,Very High,High,Moderate,Very High,100,70,60,83,2015,2015,0,Total,67128,18512.0,"Census Tract 3007, Nassau County, NY",14000US36059300700,36059300700,LI
1091,36059300800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,923,0.18376988,0.085359305,-0.027008545,0.026256446,Very High,Very High,Low,High,99,99,39,76,Very High,Very High,Moderate,High,99,99,49,76,Very High,Very High,Moderate,High,97,98,47,70,2015,2015,0,Total,105078,16018.000000000002,"Census Tract 3008, Nassau County, NY",14000US36059300800,36059300800,LI
1092,36059300900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1314,0.1750651,0.05520317,0.19947861,0.048442092,Very High,Very High,Very High,Very High,99,85,85,95,Very High,High,Very High,Very High,97,77,88,95,Very High,High,Very High,Very High,95,73,87,94,2015,2015,0,Total,134856,28559.0,"Census Tract 3009, Nassau County, NY",14000US36059300900,36059300900,LI
1093,36059301000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1369,0.16351157,0.066183485,0.091570005,0.035775602000000004,Very High,Very High,High,Very High,98,93,63,85,Very High,Very High,High,Very High,96,89,69,85,Very High,Very High,High,Very High,94,86,65,81,2015,2015,0,Total,151759,15609.000000000002,"Census Tract 3010, Nassau County, NY",14000US36059301000,36059301000,LI
1094,36059301101,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1887,0.1448227,-0.016944878,-0.10891564,0.001533165,Very High,Low,Low,Moderate,97,21,26,47,Very High,Very Low,Low,Moderate,94,6,37,51,Very High,Very Low,Low,Moderate,91,5,36,48,2015,2015,0,Total,83253,15405.999999999998,"Census Tract 3011.01, Nassau County, NY",14000US36059301101,36059301101,LI
1095,36059301102,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1187,0.1434125,0.048656974000000006,0.054474648,0.027371751,Very High,High,Moderate,High,97,79,56,77,Very High,High,High,High,94,67,62,76,Very High,High,Moderate,High,90,64,59,71,2015,2015,0,Total,106196,22201.0,"Census Tract 3011.02, Nassau County, NY",14000US36059301102,36059301102,LI
1096,36059301200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1634,0.18913707,0.047474913,0.15030879,0.043453495999999994,Very High,High,High,Very High,100,78,76,92,Very High,High,High,Very High,99,66,79,92,Very High,High,High,Very High,97,63,77,89,2015,2015,0,Total,126563,19061.0,"Census Tract 3012, Nassau County, NY",14000US36059301200,36059301200,LI
1097,36059301300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,947,0.13100809,0.013864171000000002,-0.027328107999999997,0.012778658,Very High,Moderate,Low,Moderate,95,44,39,60,Very High,Very Low,Moderate,High,93,19,49,62,Very High,Very Low,Moderate,Moderate,88,19,47,57,2015,2015,0,Total,80718,18305.0,"Census Tract 3013, Nassau County, NY",14000US36059301300,36059301300,LI
1098,36059301400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,558,0.19271861,0.066923633,0.25072908,0.057605036,Very High,Very High,Very High,Very High,100,93,93,99,Very High,Very High,Very High,Very High,99,90,95,99,Very High,Very High,Very High,Very High,98,86,96,99,2015,2015,0,Total,136042,23321.0,"Census Tract 3014, Nassau County, NY",14000US36059301400,36059301400,LI
1099,36059301500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,894,0.18535291,0.073043205,0.17010075,0.048058983,Very High,Very High,High,Very High,99,96,80,95,Very High,Very High,Very High,Very High,99,95,83,95,Very High,Very High,Very High,Very High,97,92,81,93,2015,2015,0,Total,216563,25356.0,"Census Tract 3015, Nassau County, NY",14000US36059301500,36059301500,LI
1100,36059301600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,1244,0.18406375,0.071504325,0.12069102,0.042002797,Very High,Very High,High,Very High,99,95,70,91,Very High,Very High,High,Very High,99,93,73,91,Very High,Very High,High,Very High,97,91,70,88,2015,2015,0,Total,208424,52887.0,"Census Tract 3016, Nassau County, NY",14000US36059301600,36059301600,LI
1101,36059301700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36059,36,NY,860,0.21006820000000004,0.082419991,0.16144586,0.05078195,Very High,Very High,High,Very High,100,99,78,96,Very High,Very High,Very High,Very High,100,99,81,96,Very High,Very High,High,Very High,99,98,79,95,2015,2015,0,Total,209063,27625.0,"Census Tract 3017, Nassau County, NY",14000US36059301700,36059301700,LI
