Unnamed: 0,geoid,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,z_ED_nat,z_HE_nat,z_SE_nat,z_COI_nat,c5_ED_nat,c5_HE_nat,c5_SE_nat,c5_COI_nat,r_ED_nat,r_HE_nat,r_SE_nat,r_COI_nat,c5_ED_stt,c5_HE_stt,c5_SE_stt,c5_COI_stt,r_ED_stt,r_HE_stt,r_SE_stt,r_COI_stt,c5_ED_met,c5_HE_met,c5_SE_met,c5_COI_met,r_ED_met,r_HE_met,r_SE_met,r_COI_met,ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
1,36005000200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1061,-0.012613918,0.036519978,-0.23434211,-0.024779497,Moderate,High,Very Low,Very Low,47,67,12,20,Moderate,Moderate,Low,Low,43,49,22,26,Low,Moderate,Low,Low,38,47,21,25,2015,2015,0,Total,72034,13991.0,"Census Tract 2, Bronx County, NY",14000US36005000200,36005000200,NYC
2,36005000400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1225,0.012289447,0.042978842,-0.18752829999999998,-0.015891207,High,High,Very Low,Low,61,74,16,28,Moderate,Moderate,Low,Low,56,58,27,33,Moderate,Moderate,Low,Low,48,55,26,33,2015,2015,0,Total,74836,8407.0,"Census Tract 4, Bronx County, NY",14000US36005000400,36005000400,NYC
3,36005001600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1795,-0.022803663999999998,0.044157237,-0.38710797,-0.042871065,Moderate,High,Very Low,Very Low,41,75,4,9,Low,Moderate,Very Low,Very Low,38,60,12,16,Low,Moderate,Very Low,Very Low,35,57,10,15,2015,2015,0,Total,32312,6859.0,"Census Tract 16, Bronx County, NY",14000US36005001600,36005001600,NYC
4,36005001900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,756,-0.087908603,0.040299751,-0.31381154,-0.04194957,Very Low,High,Very Low,Very Low,10,71,7,10,Very Low,Moderate,Very Low,Very Low,11,54,16,16,Very Low,Moderate,Very Low,Very Low,12,52,15,15,2015,2015,0,Total,37936,3771.0,"Census Tract 19, Bronx County, NY",14000US36005001900,36005001900,NYC
5,36005002000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2866,-0.04788617,0.034918028999999996,-0.6585753000000001,-0.078218415,Low,High,Very Low,Very Low,26,66,1,1,Low,Moderate,Very Low,Very Low,27,46,1,2,Low,Moderate,Very Low,Very Low,26,45,1,2,2015,2015,0,Total,18086,3694.0,"Census Tract 20, Bronx County, NY",14000US36005002000,36005002000,NYC
6,36005002300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1222,-0.010779073,0.041166019,-0.7676725999999999,-0.086147085,Moderate,High,Very Low,Very Low,48,72,1,1,Moderate,Moderate,Very Low,Very Low,44,56,1,1,Low,Moderate,Very Low,Very Low,39,53,1,1,2015,2015,0,Total,14479,1901.0,"Census Tract 23, Bronx County, NY",14000US36005002300,36005002300,NYC
7,36005002500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1784,-0.10315226,0.009798636,-0.5280382,-0.07181035,Very Low,Low,Very Low,Very Low,6,40,1,2,Very Low,Very Low,Very Low,Very Low,7,16,4,4,Very Low,Very Low,Very Low,Very Low,7,16,4,3,2015,2015,0,Total,17226,6097.0,"Census Tract 25, Bronx County, NY",14000US36005002500,36005002500,NYC
8,36005002701,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1079,-0.090189382,0.03291069,-0.52261299,-0.067286633,Very Low,High,Very Low,Very Low,9,63,2,3,Very Low,Moderate,Very Low,Very Low,11,43,5,5,Very Low,Moderate,Very Low,Very Low,11,42,4,4,2015,2015,0,Total,20153,5229.0,"Census Tract 27.01, Bronx County, NY",14000US36005002701,36005002701,NYC
9,36005002702,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1492,-0.11903032,0.02599204,-0.60985053,-0.081363365,Very Low,Moderate,Very Low,Very Low,3,56,1,1,Very Low,Low,Very Low,Very Low,3,33,2,2,Very Low,Low,Very Low,Very Low,3,33,2,1,2015,2015,0,Total,17147,7165.0,"Census Tract 27.02, Bronx County, NY",14000US36005002702,36005002702,NYC
10,36005002800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1025,-0.050647192,0.043124012999999996,-0.35986888,-0.042889394000000004,Low,High,Very Low,Very Low,24,74,5,9,Low,Moderate,Very Low,Very Low,26,59,14,16,Low,Moderate,Very Low,Very Low,25,56,12,15,2015,2015,0,Total,49529,5441.0,"Census Tract 28, Bronx County, NY",14000US36005002800,36005002800,NYC
11,36005003100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,447,-0.095488325,0.032575645,-0.17193386,-0.027098833,Very Low,High,Very Low,Very Low,8,63,18,18,Very Low,Moderate,Low,Low,9,43,28,25,Very Low,Moderate,Low,Low,10,41,27,24,2015,2015,0,Total,37250,12079.0,"Census Tract 31, Bronx County, NY",14000US36005003100,36005003100,NYC
12,36005003300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1312,-0.1090646,0.03200265,-0.65646964,-0.0850472,Very Low,High,Very Low,Very Low,5,62,1,1,Very Low,Moderate,Very Low,Very Low,5,42,1,1,Very Low,Moderate,Very Low,Very Low,5,41,1,1,2015,2015,0,Total,19923,2402.0,"Census Tract 33, Bronx County, NY",14000US36005003300,36005003300,NYC
13,36005003500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1264,-0.10481546,0.032993812000000004,-0.45987612,-0.061593957000000005,Very Low,High,Very Low,Very Low,6,64,2,4,Very Low,Moderate,Very Low,Very Low,6,43,7,8,Very Low,Moderate,Very Low,Very Low,6,42,7,6,2015,2015,0,Total,26541,7009.0,"Census Tract 35, Bronx County, NY",14000US36005003500,36005003500,NYC
15,36005003800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,343,-0.025898288999999998,0.026418446,-0.31179971,-0.036336921,Low,Moderate,Very Low,Very Low,39,57,7,12,Low,Low,Very Low,Very Low,36,34,16,19,Low,Low,Very Low,Very Low,33,33,15,18,2015,2015,0,Total,37685,6696.0,"Census Tract 38, Bronx County, NY",14000US36005003800,36005003800,NYC
16,36005003900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1760,-0.080474667,-0.029959211,-0.36974117,-0.055112317,Very Low,Very Low,Very Low,Very Low,12,14,5,5,Very Low,Very Low,Very Low,Very Low,14,4,13,10,Very Low,Very Low,Very Low,Very Low,15,3,12,9,2015,2015,0,Total,25990,6323.0,"Census Tract 39, Bronx County, NY",14000US36005003900,36005003900,NYC
17,36005004001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,308,-0.039624803,0.031154627,-0.18820119,-0.022967082000000003,Low,High,Very Low,Low,31,62,16,22,Low,Moderate,Low,Low,29,41,27,28,Low,Low,Low,Low,29,40,26,27,2015,2015,0,Total,48056,6057.0,"Census Tract 40.01, Bronx County, NY",14000US36005004001,36005004001,NYC
18,36005004100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1833,-0.055296078,0.022045942000000002,-0.68254519,-0.083196715,Low,Moderate,Very Low,Very Low,22,52,1,1,Low,Low,Very Low,Very Low,24,28,1,1,Low,Low,Very Low,Very Low,24,28,1,1,2015,2015,0,Total,18636,3658.0000000000014,"Census Tract 41, Bronx County, NY",14000US36005004100,36005004100,NYC
19,36005004200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1972,-0.033635389,0.044924375,-0.6534704000000001,-0.07498411099999999,Low,High,Very Low,Very Low,34,76,1,2,Low,High,Very Low,Very Low,32,62,1,3,Low,Moderate,Very Low,Very Low,31,58,1,2,2015,2015,0,Total,25741,7844.999999999999,"Census Tract 42, Bronx County, NY",14000US36005004200,36005004200,NYC
20,36005004300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1700,-0.12608546,0.023605976,-0.52224445,-0.07220233200000001,Very Low,Moderate,Very Low,Very Low,2,54,2,2,Very Low,Low,Very Low,Very Low,2,30,5,4,Very Low,Low,Very Low,Very Low,2,30,4,3,2015,2015,0,Total,21448,3092.0,"Census Tract 43, Bronx County, NY",14000US36005004300,36005004300,NYC
21,36005004400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1246,-0.070543356,0.043560799000000004,-0.68254066,-0.082592554,Very Low,High,Very Low,Very Low,15,74,1,1,Very Low,Moderate,Very Low,Very Low,18,59,1,2,Very Low,Moderate,Very Low,Very Low,18,56,1,1,2015,2015,0,Total,22719,2899.0,"Census Tract 44, Bronx County, NY",14000US36005004400,36005004400,NYC
22,36005004600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,500,-0.072439089,0.059200420999999996,-0.41301835,-0.049773104000000006,Very Low,Very High,Very Low,Very Low,15,88,3,7,Very Low,Very High,Very Low,Very Low,17,83,10,13,Very Low,High,Very Low,Very Low,18,78,9,11,2015,2015,0,Total,40950,10707.0,"Census Tract 46, Bronx County, NY",14000US36005004600,36005004600,NYC
23,36005004800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1090,-0.08768084599999999,0.012828947,-0.46686357,-0.062658437,Very Low,Moderate,Very Low,Very Low,10,43,2,3,Very Low,Very Low,Very Low,Very Low,11,18,7,7,Very Low,Very Low,Very Low,Very Low,12,18,6,6,2015,2015,0,Total,30301,4692.0,"Census Tract 48, Bronx County, NY",14000US36005004800,36005004800,NYC
24,36005005001,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1595,-0.084515058,0.017792547,-0.52498394,-0.068543881,Very Low,Moderate,Very Low,Very Low,11,48,1,3,Very Low,Low,Very Low,Very Low,12,23,5,5,Very Low,Low,Very Low,Very Low,13,23,4,4,2015,2015,0,Total,27456,9296.0,"Census Tract 50.01, Bronx County, NY",14000US36005005001,36005005001,NYC
25,36005005002,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1475,-0.10853039999999999,-0.010140782,-0.49330583,-0.070484728,Very Low,Low,Very Low,Very Low,5,25,2,2,Very Low,Very Low,Very Low,Very Low,5,8,6,4,Very Low,Very Low,Very Low,Very Low,5,7,5,3,2015,2015,0,Total,28039,5380.0,"Census Tract 50.02, Bronx County, NY",14000US36005005002,36005005002,NYC
26,36005005100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1855,0.027824866,0.045606259,-0.48242822,-0.048212245,High,High,Very Low,Very Low,68,76,2,7,High,High,Very Low,Very Low,64,63,6,14,Moderate,Moderate,Very Low,Very Low,55,59,6,12,2015,2015,0,Total,18633,2086.0,"Census Tract 51, Bronx County, NY",14000US36005005100,36005005100,NYC
27,36005005200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,663,-0.11031847,0.03550192,-0.4984827,-0.066428207,Very Low,High,Very Low,Very Low,5,66,2,3,Very Low,Moderate,Very Low,Very Low,5,47,6,6,Very Low,Moderate,Very Low,Very Low,5,45,5,5,2015,2015,0,Total,17756,3843.0,"Census Tract 52, Bronx County, NY",14000US36005005200,36005005200,NYC
28,36005005300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1517,-0.12191587,0.021995779,-0.75588614,-0.09910208,Very Low,Moderate,Very Low,Very Low,3,52,1,1,Very Low,Low,Very Low,Very Low,3,27,1,1,Very Low,Low,Very Low,Very Low,3,27,1,1,2015,2015,0,Total,17719,4121.0,"Census Tract 53, Bronx County, NY",14000US36005005300,36005005300,NYC
29,36005005400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1675,-0.12286539,-0.003985107,-0.44515046,-0.065810591,Very Low,Low,Very Low,Very Low,3,29,3,3,Very Low,Very Low,Very Low,Very Low,3,10,8,6,Very Low,Very Low,Very Low,Very Low,2,9,7,5,2015,2015,0,Total,27380,6078.0,"Census Tract 54, Bronx County, NY",14000US36005005400,36005005400,NYC
30,36005005600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,702,-0.095411502,0.005912794,-0.47787541,-0.06553049400000001,Very Low,Low,Very Low,Very Low,8,37,2,3,Very Low,Very Low,Very Low,Very Low,9,14,7,6,Very Low,Very Low,Very Low,Very Low,10,13,6,5,2015,2015,0,Total,17771,4860.0,"Census Tract 56, Bronx County, NY",14000US36005005600,36005005600,NYC
31,36005005902,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,542,0.014710681000000001,0.030170731,-0.40269518,-0.042025812,High,High,Very Low,Very Low,62,61,4,9,Moderate,Low,Very Low,Very Low,58,39,11,16,Moderate,Low,Very Low,Very Low,49,38,9,15,2015,2015,0,Total,38542,6531.0,"Census Tract 59.02, Bronx County, NY",14000US36005005902,36005005902,NYC
32,36005006000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,304,-0.083928794,0.017514447,-0.40259343,-0.054265808,Very Low,Moderate,Very Low,Very Low,11,48,4,5,Very Low,Low,Very Low,Very Low,13,22,11,10,Very Low,Low,Very Low,Very Low,13,22,9,9,2015,2015,0,Total,41190,4642.0,"Census Tract 60, Bronx County, NY",14000US36005006000,36005006000,NYC
33,36005006100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,361,0.025558122000000003,0.021604821,-0.23280311,-0.021967329,High,Moderate,Very Low,Low,67,52,12,22,High,Low,Low,Low,63,27,22,28,Moderate,Low,Low,Low,54,27,21,28,2015,2015,0,Total,48298,9993.0,"Census Tract 61, Bronx County, NY",14000US36005006100,36005006100,NYC
34,36005006200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2120,-0.089686051,0.036830079,-0.61372823,-0.077417225,Very Low,High,Very Low,Very Low,9,68,1,2,Very Low,Moderate,Very Low,Very Low,11,49,2,3,Very Low,Moderate,Very Low,Very Low,12,47,2,2,2015,2015,0,Total,24480,5909.0,"Census Tract 62, Bronx County, NY",14000US36005006200,36005006200,NYC
35,36005006300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,940,0.002725001,0.02298015,-0.36432245,-0.0396505,Moderate,Moderate,Very Low,Very Low,56,53,5,11,Moderate,Low,Very Low,Very Low,51,29,13,18,Moderate,Low,Very Low,Very Low,44,29,12,16,2015,2015,0,Total,32064,4061.0,"Census Tract 63, Bronx County, NY",14000US36005006300,36005006300,NYC
36,36005006400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,945,-0.09423571800000001,0.018304063,-0.40970099,-0.056148399,Very Low,Moderate,Very Low,Very Low,8,48,3,5,Very Low,Low,Very Low,Very Low,9,23,10,10,Very Low,Low,Very Low,Very Low,10,23,9,8,2015,2015,0,Total,30726,8555.0,"Census Tract 64, Bronx County, NY",14000US36005006400,36005006400,NYC
37,36005006500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1515,-0.09242367,0.021234463999999998,-0.42739475,-0.057695317999999995,Very Low,Moderate,Very Low,Very Low,8,51,3,4,Very Low,Low,Very Low,Very Low,10,26,9,9,Very Low,Low,Very Low,Very Low,11,26,8,8,2015,2015,0,Total,21384,5108.0,"Census Tract 65, Bronx County, NY",14000US36005006500,36005006500,NYC
38,36005006700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2452,-0.12900445,0.021113016000000002,-0.50009358,-0.070212558,Very Low,Moderate,Very Low,Very Low,2,51,2,2,Very Low,Low,Very Low,Very Low,2,26,5,4,Very Low,Low,Very Low,Very Low,2,26,5,3,2015,2015,0,Total,21016,4709.0,"Census Tract 67, Bronx County, NY",14000US36005006700,36005006700,NYC
39,36005006800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,972,-0.10371245,0.01678412,-0.19067518,-0.031869333,Very Low,Moderate,Very Low,Very Low,6,47,16,15,Very Low,Low,Low,Low,7,21,26,22,Very Low,Low,Low,Very Low,7,22,25,20,2015,2015,0,Total,47232,11781.0,"Census Tract 68, Bronx County, NY",14000US36005006800,36005006800,NYC
40,36005006900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2635,-0.071497783,0.038569964,-0.41330075,-0.051897097,Very Low,High,Very Low,Very Low,15,69,3,6,Very Low,Moderate,Very Low,Very Low,18,52,10,11,Very Low,Moderate,Very Low,Very Low,18,50,9,10,2015,2015,0,Total,19741,7358.999999999999,"Census Tract 69, Bronx County, NY",14000US36005006900,36005006900,NYC
41,36005007000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1234,-0.05899955,0.017519753,-0.31995457,-0.04189232,Very Low,Moderate,Very Low,Very Low,20,48,7,10,Low,Low,Very Low,Very Low,22,22,16,16,Low,Low,Very Low,Very Low,22,22,14,15,2015,2015,0,Total,34191,7201.0,"Census Tract 70, Bronx County, NY",14000US36005007000,36005007000,NYC
42,36005007100,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,634,-0.10312828,0.052711673,-0.29845533,-0.040524457,Very Low,Very High,Very Low,Very Low,6,83,8,10,Very Low,High,Very Low,Very Low,7,73,17,17,Very Low,High,Very Low,Very Low,7,69,16,16,2015,2015,0,Total,38289,6810.000000000001,"Census Tract 71, Bronx County, NY",14000US36005007100,36005007100,NYC
43,36005007200,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1470,-0.030559639,0.023462744,-0.26784492,-0.032051649,Low,Moderate,Very Low,Very Low,36,54,9,15,Low,Low,Very Low,Low,34,30,19,22,Low,Low,Very Low,Very Low,32,30,18,20,2015,2015,0,Total,37634,8074.000000000001,"Census Tract 72, Bronx County, NY",14000US36005007200,36005007200,NYC
44,36005007300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1360,-0.12044735,0.020525135,-0.62172979,-0.08348415,Very Low,Moderate,Very Low,Very Low,3,51,1,1,Very Low,Low,Very Low,Very Low,3,26,2,1,Very Low,Low,Very Low,Very Low,3,26,2,1,2015,2015,0,Total,18358,5706.0,"Census Tract 73, Bronx County, NY",14000US36005007300,36005007300,NYC
45,36005007400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,696,-0.015796786,0.023883631000000002,-0.40702862,-0.046571855,Moderate,Moderate,Very Low,Very Low,45,54,4,8,Moderate,Low,Very Low,Very Low,42,30,11,14,Low,Low,Very Low,Very Low,37,30,9,13,2015,2015,0,Total,44455,7777.000000000001,"Census Tract 74, Bronx County, NY",14000US36005007400,36005007400,NYC
46,36005007500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1821,-0.099839121,0.027845945,-0.51871014,-0.068438202,Very Low,Moderate,Very Low,Very Low,7,58,2,3,Very Low,Low,Very Low,Very Low,8,36,5,5,Very Low,Low,Very Low,Very Low,9,35,4,4,2015,2015,0,Total,25452,5317.0,"Census Tract 75, Bronx County, NY",14000US36005007500,36005007500,NYC
47,36005007600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1304,-0.097450942,-0.004714271,-0.46659797,-0.065574363,Very Low,Low,Very Low,Very Low,7,29,2,3,Very Low,Very Low,Very Low,Very Low,8,9,7,6,Very Low,Very Low,Very Low,Very Low,9,9,6,5,2015,2015,0,Total,33465,6930.000000000001,"Census Tract 76, Bronx County, NY",14000US36005007600,36005007600,NYC
48,36005007700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,566,-0.11325163,0.048021913,-0.46471608,-0.061490785,Very Low,High,Very Low,Very Low,4,79,2,4,Very Low,High,Very Low,Very Low,4,67,7,8,Very Low,High,Very Low,Very Low,4,63,6,6,2015,2015,0,Total,26486,7002.000000000001,"Census Tract 77, Bronx County, NY",14000US36005007700,36005007700,NYC
49,36005007800,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1845,-0.047604553,0.008350079,-0.44405007,-0.056049503,Low,Low,Very Low,Very Low,26,39,3,5,Low,Very Low,Very Low,Very Low,27,15,8,10,Low,Very Low,Very Low,Very Low,27,15,7,8,2015,2015,0,Total,30437,12004.0,"Census Tract 78, Bronx County, NY",14000US36005007800,36005007800,NYC
50,36005007900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,2167,-0.093839504,0.036949157999999996,-0.56539428,-0.072239012,Very Low,High,Very Low,Very Low,8,68,1,2,Very Low,Moderate,Very Low,Very Low,9,49,3,4,Very Low,Moderate,Very Low,Very Low,10,47,3,3,2015,2015,0,Total,24278,9630.0,"Census Tract 79, Bronx County, NY",14000US36005007900,36005007900,NYC
51,36005008300,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1797,-0.08518371699999999,0.024595797000000003,-0.49502951,-0.064408034,Very Low,Moderate,Very Low,Very Low,10,55,2,3,Very Low,Low,Very Low,Very Low,12,31,6,6,Very Low,Low,Very Low,Very Low,13,31,5,5,2015,2015,0,Total,19818,8210.0,"Census Tract 83, Bronx County, NY",14000US36005008300,36005008300,NYC
52,36005008400,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,622,-0.006543556999999999,0.032276016,-0.18454948,-0.018765491000000002,Moderate,High,Very Low,Low,51,63,16,25,Moderate,Moderate,Low,Low,46,42,27,31,Low,Moderate,Low,Low,40,41,26,30,2015,2015,0,Total,60135,8334.0,"Census Tract 84, Bronx County, NY",14000US36005008400,36005008400,NYC
53,36005008500,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1849,-0.074844286,0.015756112,-0.55019689,-0.070625491,Very Low,Moderate,Very Low,Very Low,14,46,1,2,Very Low,Low,Very Low,Very Low,16,21,4,4,Very Low,Very Low,Very Low,Very Low,17,20,3,3,2015,2015,0,Total,27174,7981.0,"Census Tract 85, Bronx County, NY",14000US36005008500,36005008500,NYC
54,36005008600,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1007,-0.014150518999999999,0.044845063,-0.53654736,-0.05923181,Moderate,High,Very Low,Very Low,46,76,1,4,Moderate,High,Very Low,Very Low,42,61,4,8,Low,Moderate,Very Low,Very Low,38,58,4,7,2015,2015,0,Total,23045,6048.0,"Census Tract 86, Bronx County, NY",14000US36005008600,36005008600,NYC
55,36005008700,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1499,-0.076394096,0.026936913,-0.59034121,-0.074278817,Very Low,Moderate,Very Low,Very Low,13,57,1,2,Very Low,Low,Very Low,Very Low,16,35,3,3,Very Low,Low,Very Low,Very Low,16,34,3,3,2015,2015,0,Total,29188,5168.0,"Census Tract 87, Bronx County, NY",14000US36005008700,36005008700,NYC
56,36005008900,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1098,-0.060995959,0.008499779,-0.51260251,-0.06549166099999999,Very Low,Low,Very Low,Very Low,19,39,2,3,Low,Very Low,Very Low,Very Low,22,15,5,6,Low,Very Low,Very Low,Very Low,22,15,5,5,2015,2015,0,Total,20849,7996.0,"Census Tract 89, Bronx County, NY",14000US36005008900,36005008900,NYC
57,36005009000,2015,1,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",36005,36,NY,1062,-0.013578733999999999,0.052128926,-0.57708621,-0.063111141,Moderate,Very High,Very Low,Very Low,47,82,1,3,Moderate,High,Very Low,Very Low,43,72,3,7,Low,High,Very Low,Very Low,38,69,3,6,2015,2015,0,Total,27000,12365.0,"Census Tract 90, Bronx County, NY",14000US36005009000,36005009000,NYC
