ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,ID,Region
2015,2015,0,Total,48732,6273.0,"Census Tract 267, Queens County, NY",14000US36081026700,36081026700,NYC
2015,2015,0,Total,45202,11340.0,"Census Tract 610.03, Kings County, NY",14000US36047061003,36047061003,NYC
2015,2015,0,Total,56313,15569.000000000002,"Census Tract 1191, Queens County, NY",14000US36081119100,36081119100,NYC
2015,2015,0,Total,52560,8745.0,"Census Tract 581, Queens County, NY",14000US36081058100,36081058100,NYC
2015,2015,0,Total,34705,4686.0,"Census Tract 240, Bronx County, NY",14000US36005024000,36005024000,NYC
2015,2015,0,Total,84861,21924.0,"Census Tract 285.01, Kings County, NY",14000US36047028501,36047028501,NYC
2015,2015,0,Total,23583,5636.0,"Census Tract 610.04, Kings County, NY",14000US36047061004,36047061004,NYC
2015,2015,0,Total,23720,3549.0,"Census Tract 367, Bronx County, NY",14000US36005036700,36005036700,NYC
2015,2015,0,Total,64214,12233.0,"Census Tract 64, Kings County, NY",14000US36047006400,36047006400,NYC
2015,2015,0,Total,27833,9494.0,"Census Tract 266, Queens County, NY",14000US36081026600,36081026600,NYC
2015,2015,0,Total,84063,16491.0,"Census Tract 156.02, Richmond County, NY",14000US36085015602,36085015602,NYC
2015,2015,0,Total,63333,17729.0,"Census Tract 612, Kings County, NY",14000US36047061200,36047061200,NYC
2015,2015,0,Total,76227,9536.0,"Census Tract 580, Queens County, NY",14000US36081058000,36081058000,NYC
2015,2015,0,Total,15135,3217.0,"Census Tract 285.02, Kings County, NY",14000US36047028502,36047028502,NYC
2015,2015,0,Total,74964,20943.0,"Census Tract 112.02, Richmond County, NY",14000US36085011202,36085011202,NYC
2015,2015,0,Total,49535,5365.0,"Census Tract 265, Queens County, NY",14000US36081026500,36081026500,NYC
2015,2015,0,Total,103000,53832.0,"Census Tract 616, Kings County, NY",14000US36047061600,36047061600,NYC
2015,2015,0,Total,56167,24138.0,"Census Tract 846.02, Queens County, NY",14000US36081084602,36081084602,NYC
2015,2015,0,Total,82981,11899.0,"Census Tract 1579.01, Queens County, NY",14000US36081157901,36081157901,NYC
2015,2015,0,Total,109492,21778.0,"Census Tract 65, Kings County, NY",14000US36047006500,36047006500,NYC
2015,2015,0,Total,43828,14396.0,"Census Tract 286, Kings County, NY",14000US36047028600,36047028600,NYC
2015,2015,0,Total,103929,17555.0,"Census Tract 620, Kings County, NY",14000US36047062000,36047062000,NYC
2015,2015,0,Total,70938,18608.0,"Census Tract 1189, Queens County, NY",14000US36081118900,36081118900,NYC
2015,2015,0,Total,43889,15443.0,"Census Tract 368, Bronx County, NY",14000US36005036800,36005036800,NYC
2015,2015,0,Total,58147,11832.0,"Census Tract 264, Queens County, NY",14000US36081026400,36081026400,NYC
2015,2015,0,Total,53542,14415.0,"Census Tract 579, Queens County, NY",14000US36081057900,36081057900,NYC
2015,2015,0,Total,52353,14066.0,"Census Tract 622, Kings County, NY",14000US36047062200,36047062200,NYC
2015,2015,0,Total,21180,4212.0,"Census Tract 189, Bronx County, NY",14000US36005018900,36005018900,NYC
2015,2015,0,Total,30755,6763.000000000001,"Census Tract 287, Kings County, NY",14000US36047028700,36047028700,NYC
2015,2015,0,Total,63971,26898.0,"Census Tract 846.01, Queens County, NY",14000US36081084601,36081084601,NYC
2015,2015,0,Total,44935,11280.0,"Census Tract 263, Queens County, NY",14000US36081026300,36081026300,NYC
2015,2015,0,Total,45547,14530.0,"Census Tract 626, Kings County, NY",14000US36047062600,36047062600,NYC
2015,2015,0,Total,59981,4349.0,"Census Tract 66, Kings County, NY",14000US36047006600,36047006600,NYC
2015,2015,0,Total,23856,4225.0,"Census Tract 241, Bronx County, NY",14000US36005024100,36005024100,NYC
2015,2015,0,Total,66983,7936.0,"Census Tract 577, Queens County, NY",14000US36081057700,36081057700,NYC
2015,2015,0,Total,41786,5628.0,"Census Tract 288, Kings County, NY",14000US36047028800,36047028800,NYC
2015,2015,0,Total,70260,6054.0,"Census Tract 628, Kings County, NY",14000US36047062800,36047062800,NYC
2015,2015,0,Total,71724,11704.0,"Census Tract 273.01, Richmond County, NY",14000US36085027301,36085027301,NYC
2015,2015,0,Total,25282,8305.0,"Census Tract 133, Bronx County, NY",14000US36005013300,36005013300,NYC
2015,2015,0,Total,64464,23008.0,"Census Tract 262, Queens County, NY",14000US36081026200,36081026200,NYC
2015,2015,0,Total,14821,6413.0,"Census Tract 369.01, Bronx County, NY",14000US36005036901,36005036901,NYC
2015,2015,0,Total,60139,13943.0,"Census Tract 632, Kings County, NY",14000US36047063200,36047063200,NYC
2015,2015,0,Total,145294,14203.0,"Census Tract 67, Kings County, NY",14000US36047006700,36047006700,NYC
2015,2015,0,Total,39570,11236.0,"Census Tract 289, Kings County, NY",14000US36047028900,36047028900,NYC
2015,2015,0,Total,24480,5909.0,"Census Tract 62, Bronx County, NY",14000US36005006200,36005006200,NYC
2015,2015,0,Total,39852,5205.0,"Census Tract 261, Queens County, NY",14000US36081026100,36081026100,NYC
2015,2015,0,Total,93214,15116.999999999998,"Census Tract 636, Kings County, NY",14000US36047063600,36047063600,NYC
2015,2015,0,Total,68846,8522.0,"Census Tract 1571.02, Queens County, NY",14000US36081157102,36081157102,NYC
2015,2015,0,Total,64858,15589.000000000002,"Census Tract 568, Queens County, NY",14000US36081056800,36081056800,NYC
2015,2015,0,Total,24335,1687.0000000000002,"Census Tract 845, Queens County, NY",14000US36081084500,36081084500,NYC
2015,2015,0,Total,45179,8920.0,"Census Tract 290, Kings County, NY",14000US36047029000,36047029000,NYC
2015,2015,0,Total,69405,12904.0,"Census Tract 638, Kings County, NY",14000US36047063800,36047063800,NYC
2015,2015,0,Total,42222,17638.0,"Census Tract 1187, Queens County, NY",14000US36081118700,36081118700,NYC
2015,2015,0,Total,40857,4719.0,"Census Tract 68, Kings County, NY",14000US36047006800,36047006800,NYC
2015,2015,0,Total,37857,8894.0,"Census Tract 260, Queens County, NY",14000US36081026000,36081026000,NYC
